text,label
Your order #269806 will arrive on 2025-05-09,0
Your order #302510 will arrive on 2025-05-10,0
Your order #231882 will arrive on 2025-05-13,0
Your order #769128 will arrive on 2025-05-24,0
Your order #598182 will arrive on 2025-05-13,0
Your order #619571 will arrive on 2025-05-15,0
Your order #903752 will arrive on 2025-05-11,0
Your order #615634 will arrive on 2025-05-03,0
Your order #92737 will arrive on 2025-05-22,0
Your order #298999 will arrive on 2025-05-19,0
Your order #765946 will arrive on 2025-05-05,0
Your order #807832 will arrive on 2025-05-04,0
Your order #310172 will arrive on 2025-05-10,0
Your order #803137 will arrive on 2025-05-06,0
Your order #702487 will arrive on 2025-05-08,0
Your order #312206 will arrive on 2025-05-06,0
Your order #265769 will arrive on 2025-05-23,0
Your order #810687 will arrive on 2025-05-08,0
Your order #241131 will arrive on 2025-05-24,0
Your order #508492 will arrive on 2025-05-20,0
Your order #69903 will arrive on 2025-05-08,0
Your order #784717 will arrive on 2025-05-19,0
Your order #777258 will arrive on 2025-05-06,0
Your order #673725 will arrive on 2025-05-19,0
Your order #386827 will arrive on 2025-05-19,0
Your order #273972 will arrive on 2025-05-01,0
Your order #126958 will arrive on 2025-05-16,0
Your order #634014 will arrive on 2025-05-03,0
Your order #266940 will arrive on 2025-05-10,0
Your order #858977 will arrive on 2025-05-11,0
Your order #549782 will arrive on 2025-05-25,0
Your order #827266 will arrive on 2025-05-02,0
Your order #264795 will arrive on 2025-05-20,0
Your order #554782 will arrive on 2025-05-03,0
Your order #856227 will arrive on 2025-05-14,0
Your order #338095 will arrive on 2025-05-14,0
Your order #412209 will arrive on 2025-05-12,0
Your order #466139 will arrive on 2025-05-08,0
Your order #267880 will arrive on 2025-05-09,0
Your order #104362 will arrive on 2025-05-07,0
Your order #520507 will arrive on 2025-05-25,0
Your order #703464 will arrive on 2025-05-22,0
Your order #748548 will arrive on 2025-05-10,0
Your order #977837 will arrive on 2025-05-17,0
Your order #707297 will arrive on 2025-05-02,0
Your order #988639 will arrive on 2025-05-06,0
Your order #420914 will arrive on 2025-05-02,0
Your order #895102 will arrive on 2025-05-18,0
Your order #38932 will arrive on 2025-05-21,0
Your order #507330 will arrive on 2025-05-06,0
Your order #256644 will arrive on 2025-05-19,0
Your order #870298 will arrive on 2025-05-17,0
Your order #99489 will arrive on 2025-05-08,0
Your order #741206 will arrive on 2025-05-04,0
Your order #517986 will arrive on 2025-05-07,0
Your order #994637 will arrive on 2025-05-23,0
Your order #759736 will arrive on 2025-05-14,0
Your order #201598 will arrive on 2025-05-07,0
Your order #705510 will arrive on 2025-05-01,0
Your order #53264 will arrive on 2025-05-23,0
Your order #938636 will arrive on 2025-05-24,0
Your order #163750 will arrive on 2025-05-19,0
Your order #319738 will arrive on 2025-05-08,0
Your order #308443 will arrive on 2025-05-10,0
Your order #609045 will arrive on 2025-05-20,0
Your order #916211 will arrive on 2025-05-20,0
Your order #84732 will arrive on 2025-05-17,0
Your order #962276 will arrive on 2025-05-17,0
Your order #599131 will arrive on 2025-05-11,0
Your order #367575 will arrive on 2025-05-24,0
Your order #602443 will arrive on 2025-05-17,0
Your order #517086 will arrive on 2025-05-24,0
Your order #233896 will arrive on 2025-05-12,0
Your order #632251 will arrive on 2025-05-06,0
Your order #68763 will arrive on 2025-05-12,0
Your order #70875 will arrive on 2025-05-05,0
Your order #198584 will arrive on 2025-05-11,0
Your order #884351 will arrive on 2025-05-14,0
Your order #896451 will arrive on 2025-05-11,0
Your order #711796 will arrive on 2025-05-04,0
Your order #742497 will arrive on 2025-05-11,0
Your order #906743 will arrive on 2025-05-19,0
Your order #903149 will arrive on 2025-05-10,0
Your order #344702 will arrive on 2025-05-05,0
Your order #753540 will arrive on 2025-05-25,0
Your order #171055 will arrive on 2025-05-19,0
Your order #553051 will arrive on 2025-05-23,0
Your order #435135 will arrive on 2025-05-07,0
Your order #950052 will arrive on 2025-05-03,0
Your order #202084 will arrive on 2025-05-12,0
Your order #232630 will arrive on 2025-05-20,0
Your order #837093 will arrive on 2025-05-18,0
Your order #994327 will arrive on 2025-05-25,0
Your order #620947 will arrive on 2025-05-15,0
Your order #591097 will arrive on 2025-05-23,0
Your order #478613 will arrive on 2025-05-18,0
Your order #625274 will arrive on 2025-05-06,0
Your order #811238 will arrive on 2025-05-24,0
Your order #616635 will arrive on 2025-05-12,0
Your order #655087 will arrive on 2025-05-14,0
Your order #685249 will arrive on 2025-05-08,0
Your order #583925 will arrive on 2025-05-01,0
Your order #283487 will arrive on 2025-05-01,0
Your order #905656 will arrive on 2025-05-20,0
Your order #263052 will arrive on 2025-05-11,0
Your order #959332 will arrive on 2025-05-04,0
Your order #319630 will arrive on 2025-05-03,0
Your order #189343 will arrive on 2025-05-05,0
Your order #251592 will arrive on 2025-05-18,0
Your order #480986 will arrive on 2025-05-13,0
Your order #215255 will arrive on 2025-05-24,0
Your order #861975 will arrive on 2025-05-09,0
Your order #829040 will arrive on 2025-05-21,0
Your order #422830 will arrive on 2025-05-16,0
Your order #847982 will arrive on 2025-05-01,0
Your order #551484 will arrive on 2025-05-15,0
Your order #864635 will arrive on 2025-05-07,0
Your order #787306 will arrive on 2025-05-25,0
Your order #41486 will arrive on 2025-05-16,0
Your order #19707 will arrive on 2025-05-07,0
Your order #331675 will arrive on 2025-05-07,0
Your order #301773 will arrive on 2025-05-25,0
Your order #451403 will arrive on 2025-05-02,0
Your order #280798 will arrive on 2025-05-18,0
Your order #407227 will arrive on 2025-05-10,0
Your order #209950 will arrive on 2025-05-13,0
Your order #730228 will arrive on 2025-05-10,0
Your order #884934 will arrive on 2025-05-03,0
Your order #887972 will arrive on 2025-05-14,0
Your order #233465 will arrive on 2025-05-08,0
Your order #252514 will arrive on 2025-05-09,0
Your order #416746 will arrive on 2025-05-07,0
Your order #995656 will arrive on 2025-05-12,0
Your order #408673 will arrive on 2025-05-09,0
Your order #980529 will arrive on 2025-05-04,0
Your order #489350 will arrive on 2025-05-21,0
Your order #806657 will arrive on 2025-05-05,0
Your order #894232 will arrive on 2025-05-21,0
Your order #485027 will arrive on 2025-05-24,0
Your order #87326 will arrive on 2025-05-06,0
Your order #880450 will arrive on 2025-05-15,0
Your order #107710 will arrive on 2025-05-04,0
Your order #16513 will arrive on 2025-05-13,0
Your order #637847 will arrive on 2025-05-09,0
Your order #868386 will arrive on 2025-05-15,0
Your order #685484 will arrive on 2025-05-23,0
Your order #659974 will arrive on 2025-05-03,0
Your order #495434 will arrive on 2025-05-20,0
Your order #371148 will arrive on 2025-05-11,0
Your order #496504 will arrive on 2025-05-09,0
Your order #271244 will arrive on 2025-05-17,0
Your order #220666 will arrive on 2025-05-18,0
Your order #174889 will arrive on 2025-05-08,0
Your order #879453 will arrive on 2025-05-05,0
Your order #192991 will arrive on 2025-05-20,0
Your order #93550 will arrive on 2025-05-05,0
Your order #521957 will arrive on 2025-05-15,0
Your order #925294 will arrive on 2025-05-07,0
Your order #155696 will arrive on 2025-05-16,0
Your order #189236 will arrive on 2025-05-24,0
Your order #346724 will arrive on 2025-05-05,0
Your order #953723 will arrive on 2025-05-25,0
Your order #648222 will arrive on 2025-05-17,0
Your order #56009 will arrive on 2025-05-05,0
Your order #110242 will arrive on 2025-05-20,0
Your order #671146 will arrive on 2025-05-09,0
Your order #400061 will arrive on 2025-05-14,0
Your order #986133 will arrive on 2025-05-04,0
Your order #553256 will arrive on 2025-05-10,0
Your order #35007 will arrive on 2025-05-25,0
Your order #349851 will arrive on 2025-05-08,0
Your order #517865 will arrive on 2025-05-17,0
Your order #685806 will arrive on 2025-05-25,0
Your order #77175 will arrive on 2025-05-16,0
Your order #261473 will arrive on 2025-05-05,0
Your order #45750 will arrive on 2025-05-21,0
Your order #897547 will arrive on 2025-05-19,0
Your order #248252 will arrive on 2025-05-07,0
Your order #377289 will arrive on 2025-05-17,0
Your order #42764 will arrive on 2025-05-17,0
Your order #99335 will arrive on 2025-05-13,0
Your order #395946 will arrive on 2025-05-16,0
Your order #491771 will arrive on 2025-05-10,0
Your order #455984 will arrive on 2025-05-12,0
Your order #603842 will arrive on 2025-05-06,0
Your order #676790 will arrive on 2025-05-22,0
Your order #921792 will arrive on 2025-05-20,0
Your order #138712 will arrive on 2025-05-23,0
Your order #128218 will arrive on 2025-05-22,0
Your order #757653 will arrive on 2025-05-05,0
Your order #36325 will arrive on 2025-05-01,0
Your order #155480 will arrive on 2025-05-23,0
Your order #675063 will arrive on 2025-05-23,0
Your order #653585 will arrive on 2025-05-09,0
Your order #750589 will arrive on 2025-05-10,0
Your order #500781 will arrive on 2025-05-05,0
Your order #297390 will arrive on 2025-05-11,0
Your order #555294 will arrive on 2025-05-17,0
Your order #938646 will arrive on 2025-05-04,0
Your order #335435 will arrive on 2025-05-02,0
Your order #216332 will arrive on 2025-05-04,0
Your order #135888 will arrive on 2025-05-03,0
Your order #812587 will arrive on 2025-05-12,0
Your order #837792 will arrive on 2025-05-04,0
Your order #814749 will arrive on 2025-05-23,0
Your order #181372 will arrive on 2025-05-15,0
Your order #896510 will arrive on 2025-05-14,0
Your order #295843 will arrive on 2025-05-22,0
Your order #893699 will arrive on 2025-05-09,0
Your order #690155 will arrive on 2025-05-22,0
Your order #550908 will arrive on 2025-05-03,0
Your order #488728 will arrive on 2025-05-18,0
Your order #805358 will arrive on 2025-05-25,0
Your order #366711 will arrive on 2025-05-25,0
Your order #344815 will arrive on 2025-05-04,0
Your order #839183 will arrive on 2025-05-06,0
Your order #435624 will arrive on 2025-05-19,0
Your order #638466 will arrive on 2025-05-13,0
Your order #202203 will arrive on 2025-05-13,0
Your order #288846 will arrive on 2025-05-06,0
Your order #485960 will arrive on 2025-05-06,0
Your order #738150 will arrive on 2025-05-20,0
Your order #742320 will arrive on 2025-05-21,0
Your order #958452 will arrive on 2025-05-03,0
Your order #188893 will arrive on 2025-05-05,0
Your order #128355 will arrive on 2025-05-15,0
Your order #420271 will arrive on 2025-05-17,0
Your order #79418 will arrive on 2025-05-05,0
Your order #655541 will arrive on 2025-05-22,0
Your order #826275 will arrive on 2025-05-14,0
